filename,utterance,segment,preceding_seg,following_seg,syllable,word,position,start,end,cdur,dur,sylldur,f0min,f0max,f0locmin,f0locmax,time,f0,int,log_f0,f0_std,tonal
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,inj5,ni3hinj5,chi3,sinj5,sinj5,6,44.90476399,45.02037646,0.109794823,0.115612476,0.225407299,360.9589705,397.8331514,0.781141547,0.005651424,8,360.9885143,54.99196084,5.88884614148324,2.3553573288025853,5
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,inj5,ni3hinj5,chi3,sinj5,sinj5,6,44.90476399,45.02037646,0.109794823,0.115612476,0.225407299,360.9589705,397.8331514,0.781141547,0.005651424,9,NA,43.44154345,NA,NA,5
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,sinj5,hninj5,chi3,chi3hninj5,5,45.14605854,45.19116075,0.125682075,0.045102214,0.170784289,248.4486983,272.9981357,0.963731885,0.333617842,1,NA,68.36888281,NA,NA,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,sinj5,hninj5,chi3,chi3hninj5,5,45.14605854,45.19116075,0.125682075,0.045102214,0.170784289,248.4486983,272.9981357,0.963731885,0.333617842,2,NA,69.07267551,NA,NA,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,sinj5,hninj5,chi3,chi3hninj5,5,45.14605854,45.19116075,0.125682075,0.045102214,0.170784289,248.4486983,272.9981357,0.963731885,0.333617842,3,272.9981357,67.45745898,5.609464966223913,0.7816040051311414,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,sinj5,hninj5,chi3,chi3hninj5,5,45.14605854,45.19116075,0.125682075,0.045102214,0.170784289,248.4486983,272.9981357,0.963731885,0.333617842,4,268.7738427,65.7820734,5.593870292530006,0.7060503451209548,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,sinj5,hninj5,chi3,chi3hninj5,5,45.14605854,45.19116075,0.125682075,0.045102214,0.170784289,248.4486983,272.9981357,0.963731885,0.333617842,5,261.8018586,65.01846569,5.567587952763052,0.581352811998175,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,sinj5,hninj5,chi3,chi3hninj5,5,45.14605854,45.19116075,0.125682075,0.045102214,0.170784289,248.4486983,272.9981357,0.963731885,0.333617842,6,256.8957275,64.65884642,5.548670272992722,0.4936041257458714,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,sinj5,hninj5,chi3,chi3hninj5,5,45.14605854,45.19116075,0.125682075,0.045102214,0.170784289,248.4486983,272.9981357,0.963731885,0.333617842,7,253.0913421,64.17659237,5.533750459538097,0.42556072983102355,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,sinj5,hninj5,chi3,chi3hninj5,5,45.14605854,45.19116075,0.125682075,0.045102214,0.170784289,248.4486983,272.9981357,0.963731885,0.333617842,8,250.2545503,63.56985742,5.522478601047004,0.3748232447236021,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,sinj5,hninj5,chi3,chi3hninj5,5,45.14605854,45.19116075,0.125682075,0.045102214,0.170784289,248.4486983,272.9981357,0.963731885,0.333617842,9,248.8147766,63.1354065,5.51670875058052,0.34907214918609797,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,inj5,chi3,chi3,hninj5,chi3hninj5,4,45.25949744,45.35790227,0.068336688,0.098404831,0.166741519,285.3741528,433.6567182,0,0.597210165,1,291.6247857,68.26595737,5.675467995493489,1.1147512516002542,5
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,inj5,chi3,chi3,hninj5,chi3hninj5,4,45.25949744,45.35790227,0.068336688,0.098404831,0.166741519,285.3741528,433.6567182,0,0.597210165,2,307.680131,69.74745078,5.72906070760741,1.4019093867349026,5
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,inj5,chi3,chi3,hninj5,chi3hninj5,4,45.25949744,45.35790227,0.068336688,0.098404831,0.166741519,285.3741528,433.6567182,0,0.597210165,3,323.6962931,70.88557347,5.779805709213863,1.6883667101192978,5
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,inj5,chi3,chi3,hninj5,chi3hninj5,4,45.25949744,45.35790227,0.068336688,0.098404831,0.166741519,285.3741528,433.6567182,0,0.597210165,4,345.7918582,73.13891061,5.845837028148409,2.083557293087465,5
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,inj5,chi3,chi3,hninj5,chi3hninj5,4,45.25949744,45.35790227,0.068336688,0.098404831,0.166741519,285.3741528,433.6567182,0,0.597210165,5,398.3884334,74.48167684,5.987427492658466,3.0242741799987236,5
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,inj5,chi3,chi3,hninj5,chi3hninj5,4,45.25949744,45.35790227,0.068336688,0.098404831,0.166741519,285.3741528,433.6567182,0,0.597210165,6,429.1234214,71.6702189,6.061744573122677,3.573985299414249,5
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,inj5,chi3,chi3,hninj5,chi3hninj5,4,45.25949744,45.35790227,0.068336688,0.098404831,0.166741519,285.3741528,433.6567182,0,0.597210165,7,408.3148767,64.61383784,6.012038633370803,3.2018137403934683,5
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,inj5,chi3,chi3,hninj5,chi3hninj5,4,45.25949744,45.35790227,0.068336688,0.098404831,0.166741519,285.3741528,433.6567182,0,0.597210165,8,391.0694864,53.56136544,5.968885258774006,2.8933710363790515,5
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,inj5,chi3,chi3,hninj5,chi3hninj5,4,45.25949744,45.35790227,0.068336688,0.098404831,0.166741519,285.3741528,433.6567182,0,0.597210165,9,NA,45.51804947,NA,NA,5
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,hninj5,ri3,chi3,chi3ri3kij5,3,45.45374384,45.50385741,0.095841571,0.050113571,0.145955142,257.0194743,282.6866523,0.899044739,0.200631135,1,NA,70.3705937,NA,NA,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,hninj5,ri3,chi3,chi3ri3kij5,3,45.45374384,45.50385741,0.095841571,0.050113571,0.145955142,257.0194743,282.6866523,0.899044739,0.200631135,2,282.4559961,71.29620231,5.64352277243601,0.9507627185739376,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,hninj5,ri3,chi3,chi3ri3kij5,3,45.45374384,45.50385741,0.095841571,0.050113571,0.145955142,257.0194743,282.6866523,0.899044739,0.200631135,3,277.207566,70.19324453,5.624766561315558,0.8568918380827806,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,hninj5,ri3,chi3,chi3ri3kij5,3,45.45374384,45.50385741,0.095841571,0.050113571,0.145955142,257.0194743,282.6866523,0.899044739,0.200631135,4,269.204537,69.48197521,5.595471451268968,0.7137535349116553,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,hninj5,ri3,chi3,chi3ri3kij5,3,45.45374384,45.50385741,0.095841571,0.050113571,0.145955142,257.0194743,282.6866523,0.899044739,0.200631135,5,263.7790185,69.56640501,5.575111701487033,0.6167153370101415,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,hninj5,ri3,chi3,chi3ri3kij5,3,45.45374384,45.50385741,0.095841571,0.050113571,0.145955142,257.0194743,282.6866523,0.899044739,0.200631135,6,261.7107961,69.78000059,5.5672400624108285,0.5797241121980714,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,hninj5,ri3,chi3,chi3ri3kij5,3,45.45374384,45.50385741,0.095841571,0.050113571,0.145955142,257.0194743,282.6866523,0.899044739,0.200631135,7,260.1358066,69.66196656,5.561203827724014,0.5515546123071758,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,hninj5,ri3,chi3,chi3ri3kij5,3,45.45374384,45.50385741,0.095841571,0.050113571,0.145955142,257.0194743,282.6866523,0.899044739,0.200631135,8,258.5804294,68.46110803,5.555206784432964,0.5237358885215868,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,hninj5,ri3,chi3,chi3ri3kij5,3,45.45374384,45.50385741,0.095841571,0.050113571,0.145955142,257.0194743,282.6866523,0.899044739,0.200631135,9,257.0403038,65.19707919,5.549232896724116,0.49618994747171513,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,chi3,kij5,ri3,chi3ri3kij5,2,45.52435842,45.55397099,0.020501006,0.029612565,0.050113571,0,0,0,0,1,0,0,-Inf,-4.101108516962526,3
ASM_declinacion_9-4-17.wav,ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5,i3,chi3,kij5,ri3,chi3ri3kij5,2,45.52435842,45.55397099,0.020501006,0.029612565,0.050113571,0,0,0,0,2,0,0,-Inf,-4.101108516962526,3
