Filename	Utterance	Segment	Preceding_seg	Following_seg	Syllable	Word	Position	start	end	cdur	dur	Sylldur	1val_F0	2val_F0	3val_F0	4val_F0	5val_F0	6val_F0	7val_F0	8val_F0	9val_F0	1val_int	2val_int	3val_int	4val_int	5val_int	6val_int	7val_int	8val_int	9val_int	F0min	F0max	F0locmin	F0locmax
ASM_declinacion_9-4-17.wav	ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5	i3	hninj5	ri3	chi3	chi3ri3kij5	3	49.77755655	49.83245205	0.1273331	0.054895498	0.182228598	318.7540009	299.2111907	270.5400167	265.8630399	263.1787947	259.5943884	256.2611082	252.2935846	246.2693867	67.42416579	69.18076155	68.50102908	67.77697647	67.32307203	66.87582307	66.40043013	65.80206801	64.85279987	242.8746653	321.5597882	1	0
ASM_declinacion_9-4-17.wav	ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5	i3	chi3	kij5	ri3	chi3ri3kij5	2	49.83245205	49.86854772	0	0.03609567	0.03609567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASM_declinacion_9-4-17.wav	ni3hinj5 sinj5 chi3hninj5 chi3ri3kij5	ij5	ri3		kij5	chi3ri3kij5	1	49.98134669	50.07835381	0.112798969	0.097007114	0.209806083	328.2386897	295.8158775	310.6223157	327.8795434	349.2201938	389.2290099	393.0961778	379.1858135	375.935259	66.46635533	68.60753073	70.50293361	72.46690986	73.88868588	73.42005058	69.18898747	60.56437875	47.24659072	294.7228466	400.121209	0.15825293	0.666199327
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	a3		raj5	ka3	ka3raj5	6	55.0632209	55.20010327	0.036446159	0.136882368	0.173328527	236.3782716	235.5234385	234.5424007	233.5382567	233.5868289	236.0197244	237.6856086	240.3287017	244.2496899	71.12834924	74.91725143	77.50903267	78.08087614	78.27487986	79.04718131	79.52557168	78.85470401	77.22564212	233.1002516	247.2712872	0.467527381	1
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	aj5	ka3	ta3	raj5	ka3raj5	5	55.22727468	55.35103061	0.027171406	0.12375593	0.150927336	276.1345215	286.1873907	305.8252292	335.1758491	372.1664221	388.0465583	379.7351258	353.9596702	340.0756519	78.95710729	79.11861276	77.08161939	75.94577017	76.54183068	75.59405409	71.76057668	65.96360959	58.72315971	271.9678738	391.1281832	0	0.649119551
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	a3	raj5	hninj5	ta3	ta3hninj5	4	55.46155543	55.5261516	0.11052482	0.064596174	0.175120993	247.9399358	244.1585787	237.249168	232.9503091	230.7486313	232.8253832	234.4838302	234.9649486	237.0389638	72.86260094	75.8330643	77.12631184	76.76499925	75.8777029	74.85847367	73.43255903	71.25053749	68.07642115	230.0963953	247.9399358	0.496875264	0.11300125
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	inj5	ta3	cha3	hninj5	ta3hninj5	3	55.56511437	55.63124855	0.038962771	0.066134178	0.105096949	282.04331	295.2959381	313.7022601	339.8712844	353.2848514	341.7887008	329.1908846	NA	NA	66.71067191	67.96303989	69.98698891	71.84994884	71.85955742	68.65205479	61.46251044	50.45108103	42.53676094	279.280274	355.8317364	0	0.491828659
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	a3	hninj5	kaj5	cha3	cha3kaj5	2	55.71319734	55.77265809	0.081948793	0.059460751	0.141409544	NA	255.854016	252.3091729	248.1440794	246.1327372	245.5610243	243.9703404	240.9410906	NA	71.22019502	73.04727974	73.4898538	73.94875411	73.93662407	73.00160052	70.78908147	66.38574317	58.39543722	240.8286593	255.9773476	0.794268937	0.205645358
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	aj5	cha3		kaj5	cha3kaj5	1	55.86844892	56.00328062	0.09579083	0.134831696	0.230622526	282.6764101	284.2885965	297.4249791	338.1496594	378.3060753	370.3774886	344.2284636	NA	NA	72.24303495	75.30624231	75.4958808	74.79296151	73.46250148	69.29643175	60.48211742	53.73782579	50.37518629	282.5829195	384.0328063	0.111765312	0.545706059
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	a3		raj5	ka3	ka3raj5	5	56.72284517	56.8763508	0.033508603	0.153505629	0.187014232	221.5069188	218.9318632	217.860364	216.2889541	216.4698553	217.3094763	217.6064297	219.728582	222.468781	70.57984635	74.69253412	75.47564705	75.96160756	76.32118721	76.52905473	76.80504164	76.70885346	75.22866051	215.9205893	222.9490865	0.419389417	0.966457095
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	aj5	ka3	tninj5	raj5	ka3raj5	4	56.91619886	57.04525227	0.039848069	0.129053405	0.168901474	243.5131215	246.9632284	254.7645286	265.6526914	283.3849095	331.5269354	343.7836433	337.7060994	NA	75.37161488	77.50234831	77.23672988	75.73033382	73.30174182	72.61899037	71.92672157	64.83990526	51.081911	240.3617926	345.090733	0	0.677900762
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	inj5	raj5	cha3	tninj5	ta3hninj5	3	57.16450507	57.29753424	0.119252803	0.133029168	0.252281971	275.8730191	251.2501808	253.8682557	261.7193593	274.7596982	294.4836379	322.4154133	315.2314575	303.5025275	63.90206836	63.02278723	62.96094988	63.32260576	64.11777078	66.49807536	68.49000956	65.34008188	54.55434099	250.3301308	325.7957833	0.129709523	0.737408009
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	a3	tninj5	kaj5	cha3	cha3kaj5	2	57.39509765	57.45668103	0.097563412	0.061583379	0.159146791	NA	254.0957559	251.2630431	241.7962163	236.5509693	235.3323363	230.0329404	228.2535388	NA	64.15612209	69.27448183	70.28494547	69.9314957	69.28738201	67.98036196	64.98339466	59.0506821	52.138199	228.2535388	254.0957559	0.743675321	0.256530893
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	aj5	cha3		kaj5	cha3kaj5	1	57.54815046	57.67765669	0.091469431	0.129506224	0.220975655	266.3268348	272.8672218	287.2247866	326.5368823	339.7289006	325.8927057	318.9988328	NA	NA	72.34996534	73.01675138	71.54537361	69.05874819	66.15046994	59.59055817	49.78622544	42.68141524	38.17336388	265.9202608	347.7230475	0.055997557	0.449178722
ASM_declinacion_9-4-17.wav	ka3raj5 ta3hninj5 cha3kaj5	a3		raj5	ka3	ka3raj5	6	58.19179695	58.3602456	0.019924034	0.168448655	0.188372689	222.1865227	216.5183768	212.7766026	210.5320436	211.1059386	211.6510608	212.9608229	214.5199768	217.2533238	70.83195051	74.98042639	75.282356	76.00514409	76.70749315	77.10198858	77.11238115	76.93253339	75.63818926	209.5076041	222.8028842	0.394497451	0.086594422
